epoch,sat_count,dual_count,mean_elevation_deg,mean_iono_model_m,mean_dual_iono_m,mean_trop_m,mean_clock_bias_ns,mean_relativity_ns,mean_tgd_ns
2025-01-01 00:18:00.000,5,5,48.073431,8.825881,2.265838,3.785411,-212908.549451,13.046639,-5.494803
2025-01-01 00:19:00.000,5,5,48.078976,8.846147,2.296682,3.775066,-212908.886419,12.929010,-5.494803
2025-01-01 00:20:00.000,5,5,48.079434,8.867120,2.325900,3.765539,-212909.223387,12.810369,-5.494803
2025-01-01 00:21:00.000,5,5,48.074977,8.888809,2.355434,3.756817,-212909.560355,12.690728,-5.494803
2025-01-01 00:22:00.000,5,5,48.065757,8.911224,2.391319,3.748891,-212909.897323,12.570095,-5.494803
2025-01-01 00:23:00.000,5,5,48.051909,8.934374,2.429372,3.741751,-212910.234290,12.448479,-5.494803
2025-01-01 00:24:00.000,5,5,48.033552,8.958268,2.467774,3.735389,-212910.571258,12.325889,-5.494803
2025-01-01 00:25:00.000,5,5,48.010790,8.982916,2.513743,3.729799,-212910.908226,12.202336,-5.494803
2025-01-01 00:26:00.000,5,5,47.983718,9.008327,2.562770,3.724974,-212911.245194,12.077828,-5.494803
2025-01-01 00:27:00.000,5,5,47.952422,9.034510,2.614799,3.720911,-212911.582161,11.952375,-5.494803
2025-01-01 00:28:00.000,5,5,47.916977,9.061475,2.664594,3.717605,-212911.919129,11.825987,-5.494803
2025-01-01 00:29:00.000,5,5,47.877454,9.089233,2.719907,3.715056,-212912.256097,11.698674,-5.494803
2025-01-01 00:30:00.000,6,6,41.541313,10.598167,4.587891,5.369198,-182484.562711,13.251332,-3.492460
2025-01-01 00:31:00.000,6,6,41.568773,10.603640,4.599783,5.281953,-182484.991311,13.135063,-3.492460
2025-01-01 00:32:00.000,6,6,41.593191,10.609844,4.612529,5.201520,-182485.419910,13.017769,-3.492460
2025-01-01 00:33:00.000,6,6,41.614611,10.616790,4.624687,5.127267,-182485.848510,12.899459,-3.492460
2025-01-01 00:34:00.000,6,6,41.633076,10.624490,4.639592,5.058646,-182486.277110,12.780144,-3.492460
2025-01-01 00:35:00.000,6,6,41.648623,10.632954,4.659411,4.995179,-182486.705709,12.659831,-3.492460
2025-01-01 00:36:00.000,6,6,41.661292,10.642193,4.682798,4.936452,-182487.134309,12.538531,-3.492460
2025-01-01 00:37:00.000,6,6,41.671121,10.652219,4.714974,4.882100,-182487.562909,12.416252,-3.492460
2025-01-01 00:38:00.000,6,6,41.678145,10.663044,4.749280,4.831803,-182487.991508,12.293004,-3.492460
2025-01-01 00:39:00.000,6,6,41.682402,10.674677,4.794312,4.785280,-182488.420108,12.168796,-3.492460
2025-01-01 00:40:00.000,6,6,41.683926,10.687130,4.839412,4.742281,-182488.848708,12.043638,-3.492460
2025-01-01 00:41:00.000,6,6,41.682755,10.700415,4.887438,4.702588,-182489.277307,11.917540,-3.492460
2025-01-01 00:42:00.000,6,6,41.678922,10.714543,4.937759,4.666005,-182489.705907,11.790512,-3.492460
2025-01-01 00:43:00.000,6,6,41.672465,10.729525,4.988663,4.632361,-182490.134506,11.662562,-3.492460
2025-01-01 00:44:00.000,6,6,41.663419,10.745372,5.042264,4.601503,-182490.563106,11.533702,-3.492460
2025-01-01 00:45:00.000,6,6,41.651820,10.762096,5.105114,4.573295,-182490.991706,11.403941,-3.492460
2025-01-01 00:46:00.000,6,6,41.637703,10.779708,5.170018,4.547620,-182491.420305,11.273289,-3.492460
2025-01-01 00:47:00.000,6,6,41.621106,10.798220,5.235741,4.524371,-182491.848905,11.141755,-3.492460
2025-01-01 00:48:00.000,6,6,41.602063,10.817642,5.302120,4.503457,-182492.277504,11.009352,-3.492460
2025-01-01 00:49:00.000,6,6,41.580612,10.837988,5.369260,4.484796,-182492.706104,10.876087,-3.492460
2025-01-01 00:50:00.000,6,6,41.556790,10.859267,5.442142,4.468320,-182493.134703,10.741973,-3.492460
2025-01-01 00:51:00.000,6,6,41.530632,10.881492,5.520115,4.453969,-182493.563303,10.607019,-3.492460
2025-01-01 00:52:00.000,6,6,41.502177,10.904674,5.596245,4.441691,-182493.991902,10.471236,-3.492460
2025-01-01 00:53:00.000,6,6,41.471460,10.928824,5.678994,4.431446,-182494.420502,10.334634,-3.492460
2025-01-01 00:54:00.000,6,6,41.438519,10.953955,5.760160,4.423199,-182494.849102,10.197223,-3.492460
2025-01-01 00:55:00.000,6,6,41.403392,10.980078,5.848844,4.416925,-182495.277701,10.059016,-3.492460
2025-01-01 00:56:00.000,6,6,41.366114,11.007205,5.941104,4.412607,-182495.706301,9.920022,-3.492460
2025-01-01 00:57:00.000,6,6,41.326723,11.035347,6.041720,4.410233,-182496.134900,9.780251,-3.492460
2025-01-01 00:58:00.000,6,6,41.285256,11.064516,6.139832,4.409801,-182496.563500,9.639716,-3.492460
2025-01-01 00:59:00.000,6,6,41.241749,11.094724,6.245937,4.411315,-182496.992099,9.498427,-3.492460
2025-01-01 01:00:00.000,6,6,41.196240,11.125982,6.357231,4.414788,-182496.963223,9.356494,-3.492460
2025-01-01 01:01:00.000,6,6,41.148764,11.158303,6.457642,4.420237,-182497.373632,9.213786,-3.492460
2025-01-01 01:02:00.000,6,6,41.099358,11.191699,6.556006,4.427692,-182497.802232,9.070304,-3.492460
2025-01-01 01:03:00.000,6,6,41.048058,11.226180,6.653018,4.437187,-182498.230831,8.926112,-3.492460
2025-01-01 01:04:00.000,6,6,40.994900,11.261759,6.744337,4.448765,-182498.659431,8.781222,-3.492460
2025-01-01 01:05:00.000,6,6,40.939919,11.298448,6.856187,4.462480,-182499.088030,8.635644,-3.492460
2025-01-01 01:06:00.000,5,5,45.870898,10.059237,5.944199,3.635136,-106643.709257,10.114830,-1.676381
2025-01-01 01:07:00.000,6,5,40.687078,11.564333,6.005635,4.577371,-23050.727040,7.685615,-2.793968
2025-01-01 01:08:00.000,6,5,40.614250,11.612435,6.066594,4.610129,-23051.056732,7.552524,-2.793968
2025-01-01 01:09:00.000,5,5,45.866990,10.088097,6.128157,3.587906,-106645.170360,9.692549,-1.676381
2025-01-01 01:10:00.000,6,5,40.464660,11.711999,6.192985,4.686248,-23051.716117,7.284577,-2.793968
2025-01-01 01:11:00.000,6,5,40.387953,11.763473,6.258037,4.730095,-23052.045809,7.149742,-2.793968
2025-01-01 01:12:00.000,5,5,45.846985,10.124813,6.322891,3.548290,-106646.631464,9.263439,-1.676381
2025-01-01 01:13:00.000,5,5,45.836888,10.138839,6.391633,3.536675,-106647.118499,9.118936,-1.676381
2025-01-01 01:14:00.000,5,5,51.053924,9.677264,6.982030,3.314259,-172805.721964,10.983732,1.210719
2025-01-01 01:15:00.000,6,6,44.257056,11.818945,8.107669,4.945314,-235855.417187,9.453754,-0.620882
2025-01-01 01:16:00.000,7,6,39.703395,12.953989,8.125007,5.787464,-282416.330047,7.839689,-2.328306
2025-01-01 01:17:00.000,6,6,44.260774,11.827832,8.144614,4.843203,-235856.047012,9.322359,-0.620882
2025-01-01 01:18:00.000,6,6,44.259533,11.833592,8.168175,4.795986,-235856.361924,9.255577,-0.620882
2025-01-01 01:19:00.000,7,6,39.544586,13.063100,8.195913,5.817608,-282417.198290,7.590414,-2.328306
2025-01-01 01:20:00.000,6,6,44.250822,11.847797,8.238086,4.708601,-235856.991750,9.119870,-0.620882
2025-01-01 01:21:00.000,6,6,44.243340,11.856261,8.286949,4.668211,-235857.306662,9.050956,-0.620882
2025-01-01 01:22:00.000,6,6,44.233768,11.865646,8.511592,4.629887,-235857.621575,8.981341,-0.620882
2025-01-01 01:23:00.000,6,6,44.222099,11.875962,8.582265,4.593539,-235857.936487,8.911031,-0.620882
2025-01-01 01:24:00.000,6,6,44.208328,11.887219,8.663387,4.559085,-235858.251400,8.840032,-0.620882
2025-01-01 01:25:00.000,5,5,50.470469,9.972712,7.765514,3.275967,-172810.314003,9.966321,1.210719
2025-01-01 01:26:00.000,5,5,50.402999,10.005290,7.845287,3.276206,-172810.731461,9.869052,1.210719
2025-01-01 01:27:00.000,5,5,50.333140,10.038860,7.924680,3.277042,-172811.148919,9.771019,1.210719
2025-01-01 01:28:00.000,6,6,44.132149,11.941840,9.301218,4.438729,-235859.511050,8.549254,-0.620882
2025-01-01 01:29:00.000,6,6,44.107813,11.957941,9.419924,4.412686,-235859.825962,8.474892,-0.620882
2025-01-01 01:30:00.000,6,6,44.081357,11.975037,9.542984,4.388152,-235860.140875,8.399875,-0.620882
2025-01-01 01:31:00.000,6,6,44.052780,11.993138,9.671928,4.365076,-235860.455787,8.324208,-0.620882
2025-01-01 01:32:00.000,6,5,40.200636,12.316903,10.486186,4.474523,-180730.050653,5.732233,-3.026798
2025-01-01 01:33:00.000,6,6,43.989265,12.032390,9.923454,4.323128,-235861.085612,8.170950,-0.620882
2025-01-01 01:34:00.000,6,5,40.210773,12.348285,10.744102,4.430819,-180730.796438,5.487703,-3.026798
2025-01-01 01:35:00.000,6,5,40.214191,12.365544,10.857452,4.410966,-180731.169331,5.364790,-3.026798
2025-01-01 01:36:00.000,6,5,40.216523,12.383857,10.962158,4.392399,-180731.542224,5.241458,-3.026798
2025-01-01 01:37:00.000,5,4,45.161922,10.766764,9.274402,3.462259,-106658.807325,5.463345,-1.676381
2025-01-01 01:38:00.000,6,5,40.217975,12.423674,10.618849,4.359009,-180732.288009,4.993576,-3.026798
2025-01-01 01:39:00.000,6,6,43.748049,12.175143,10.151436,4.228330,-235862.975087,7.696212,-0.620882
2025-01-01 01:40:00.000,6,5,40.215208,12.467785,10.809605,4.330437,-180733.033795,4.744133,-3.026798
2025-01-01 01:41:00.000,6,6,38.823587,13.770341,10.787207,5.833764,-333604.084807,13.553975,-3.337239
2025-01-01 01:42:00.000,7,6,34.780197,14.414034,10.856665,6.874189,-194953.164429,10.712065,-2.660922
2025-01-01 01:43:00.000,6,6,38.986620,13.745483,10.934111,5.639909,-333604.514543,13.464086,-3.337239
2025-01-01 01:44:00.000,6,6,39.065592,13.734342,11.018464,5.553064,-333604.729410,13.417581,-3.337239
2025-01-01 01:45:00.000,6,6,39.142870,13.724071,11.091601,5.472152,-333604.944278,13.370040,-3.337239
2025-01-01 01:46:00.000,6,6,39.218456,13.714680,11.156724,5.396672,-333605.159146,13.321468,-3.337239
2025-01-01 01:47:00.000,6,6,39.292354,13.706178,11.221922,5.326190,-333605.374014,13.271867,-3.337239
2025-01-01 01:48:00.000,6,6,39.364572,13.698574,11.271607,5.260323,-333605.588881,13.221241,-3.337239
2025-01-01 01:49:00.000,6,6,39.435114,13.691877,11.323859,5.198733,-333605.803749,13.169593,-3.337239
2025-01-01 01:50:00.000,6,6,39.503990,13.686094,11.365927,5.141122,-333606.018617,13.116929,-3.337239
2025-01-01 01:51:00.000,6,6,39.571207,13.681235,11.399682,5.087227,-333606.233485,13.063251,-3.337239
2025-01-01 01:52:00.000,6,6,39.636776,13.677306,11.431212,5.036811,-333606.448353,13.008564,-3.337239
2025-01-01 01:53:00.000,7,6,35.986151,14.293392,11.464620,5.717667,-194954.439990,10.080815,-2.660922
2025-01-01 01:54:00.000,6,6,39.763013,13.672271,11.491508,4.945605,-333606.878088,12.896177,-3.337239
2025-01-01 01:55:00.000,6,6,39.823703,13.671179,11.523341,4.904462,-333607.092956,12.838486,-3.337239
2025-01-01 01:56:00.000,6,6,39.882792,13.671048,11.550447,4.866088,-333607.307824,12.779803,-3.337239
2025-01-01 01:57:00.000,7,6,36.375540,14.267618,11.574631,5.459748,-194954.903831,9.827595,-2.660922
2025-01-01 01:58:00.000,7,6,36.468832,14.262977,11.594119,5.404536,-194955.019791,9.762378,-2.660922
2025-01-01 01:59:00.000,6,6,40.050581,13.676484,11.606433,4.766322,-333607.952427,12.597840,-3.337239
2025-01-01 02:00:00.000,6,6,40.103397,13.680261,11.618349,4.737831,-333608.167294,12.535230,-3.337239
2025-01-01 02:01:00.000,6,6,40.154681,13.685031,11.630949,4.711576,-333608.382162,12.471650,-3.337239
2025-01-01 02:02:00.000,6,6,40.204445,13.690799,11.638228,4.687480,-333608.597030,12.407105,-3.337239
2025-01-01 02:03:00.000,6,6,40.252705,13.697572,11.646809,4.665481,-333608.811898,12.341600,-3.337239
2025-01-01 02:04:00.000,6,6,40.299475,13.705355,11.654616,4.645521,-333609.026765,12.275139,-3.337239
2025-01-01 02:05:00.000,6,6,40.344769,13.714154,11.666124,4.627552,-333609.241633,12.207728,-3.337239
2025-01-01 02:06:00.000,6,6,40.388600,13.723972,11.675114,4.611533,-333609.456501,12.139371,-3.337239
2025-01-01 02:07:00.000,6,6,40.430984,13.734817,11.691535,4.597430,-333609.671369,12.070074,-3.337239
2025-01-01 02:08:00.000,6,6,40.471932,13.746691,11.707844,4.585214,-333609.886236,11.999842,-3.337239
2025-01-01 02:09:00.000,6,6,40.511458,13.759601,11.722368,4.574865,-333610.101104,11.928680,-3.337239
2025-01-01 02:10:00.000,6,6,40.549576,13.773550,11.728815,4.566369,-333610.315972,11.856594,-3.337239
2025-01-01 02:11:00.000,6,6,40.586296,13.788542,11.733779,4.559716,-333610.530839,11.783590,-3.337239
2025-01-01 02:12:00.000,7,7,37.607785,14.284473,12.035429,4.925139,-194956.643233,8.772426,-2.660922
2025-01-01 02:13:00.000,7,7,37.677367,14.292717,12.040821,4.908569,-194956.759193,8.696435,-2.660922
2025-01-01 02:14:00.000,7,7,37.745394,14.301914,12.053949,4.894122,-194956.875153,8.619769,-2.660922
2025-01-01 02:15:00.000,7,7,37.811865,14.312073,12.068158,4.881788,-194956.991113,8.542435,-2.660922
2025-01-01 02:16:00.000,7,7,37.876782,14.323204,12.085012,4.871562,-194957.107073,8.464439,-2.660922
2025-01-01 02:17:00.000,7,7,37.940144,14.335313,12.105082,4.863450,-194957.223033,8.385786,-2.660922
2025-01-01 02:18:00.000,7,7,38.001949,14.348410,12.117651,4.857462,-194957.338993,8.306482,-2.660922
2025-01-01 02:19:00.000,7,7,38.062195,14.362501,12.130013,4.853617,-194957.454953,8.226534,-2.660922
2025-01-01 02:20:00.000,7,7,38.120880,14.377593,12.138968,4.851944,-194957.570913,8.145947,-2.660922
2025-01-01 02:21:00.000,7,7,38.178000,14.393693,12.151376,4.852479,-194957.686874,8.064728,-2.660922
2025-01-01 02:22:00.000,7,7,38.233551,14.410806,12.161986,4.855266,-194957.802834,7.982883,-2.660922
2025-01-01 02:23:00.000,7,7,38.287529,14.428939,12.167273,4.860361,-194957.918794,7.900418,-2.660922
2025-01-01 02:24:00.000,7,7,38.339927,14.448096,12.175313,4.867830,-194958.034754,7.817339,-2.660922
2025-01-01 02:25:00.000,7,7,38.390738,14.468282,12.179964,4.877750,-194958.150714,7.733653,-2.660922
2025-01-01 02:26:00.000,7,7,38.439957,14.489502,12.188936,4.890211,-194958.266674,7.649366,-2.660922
2025-01-01 02:27:00.000,7,7,38.487573,14.511759,12.200897,4.905316,-194958.382634,7.564484,-2.660922
2025-01-01 02:28:00.000,8,7,36.219679,15.153805,12.214698,5.179777,-108415.340369,4.776328,-1.629815
2025-01-01 02:29:00.000,8,7,36.208616,15.201500,12.232714,5.214968,-108415.446097,4.674174,-1.629815
2025-01-01 02:30:00.000,8,7,36.196217,15.250397,12.250617,5.253523,-108415.551826,4.571659,-1.629815
2025-01-01 02:31:00.000,7,7,38.661821,14.611230,12.258708,4.994837,-194958.846475,7.219144,-2.660922
2025-01-01 02:32:00.000,7,7,38.701271,14.638720,12.279444,5.025333,-194958.962435,7.131388,-2.660922
2025-01-01 02:33:00.000,7,7,38.739048,14.667262,12.299249,5.059497,-194959.078395,7.043078,-2.660922
2025-01-01 02:34:00.000,7,7,38.775138,14.696857,12.321741,5.097594,-194959.194355,6.954219,-2.660922
2025-01-01 02:35:00.000,7,7,38.809524,14.727506,12.346057,5.139926,-194959.310315,6.864820,-2.660922
2025-01-01 02:36:00.000,7,7,38.842187,14.759208,12.364975,5.186840,-194959.426275,6.774886,-2.660922
2025-01-01 02:37:00.000,7,7,38.873108,14.791964,12.385297,5.238735,-194959.542236,6.684424,-2.660922
2025-01-01 02:38:00.000,7,7,38.902266,14.825771,12.411499,5.296070,-194959.658196,6.593442,-2.660922
2025-01-01 02:39:00.000,7,7,38.929638,14.860628,12.442085,5.359378,-194959.774156,6.501946,-2.660922
2025-01-01 02:40:00.000,6,6,43.842493,13.245569,9.838951,3.954871,-184479.107755,7.370414,-3.492460
2025-01-01 02:41:00.000,6,6,43.937066,13.245589,9.803795,3.942453,-184479.083881,7.296616,-3.492460
2025-01-01 02:42:00.000,6,6,44.029165,13.246649,9.769219,3.930722,-184479.060006,7.222250,-3.492460
2025-01-01 02:43:00.000,6,6,44.118755,13.248756,9.731461,3.919664,-184479.036132,7.147321,-3.492460
2025-01-01 02:44:00.000,6,6,44.205796,13.251915,9.695875,3.909269,-184479.012257,7.071834,-3.492460
2025-01-01 02:45:00.000,7,6,39.869693,14.703774,9.659942,4.820592,-87069.677556,3.477848,-2.195260
2025-01-01 02:46:00.000,6,6,44.372063,13.261415,9.623163,3.890428,-184478.964509,6.919212,-3.492460
2025-01-01 02:47:00.000,6,6,44.451198,13.267767,9.579201,3.881962,-184478.940634,6.842088,-3.492460
2025-01-01 02:48:00.000,6,6,44.527599,13.275195,9.535716,3.874123,-184478.916760,6.764430,-3.492460
2025-01-01 02:49:00.000,6,6,44.601212,13.283705,9.492351,3.866902,-184478.892886,6.686244,-3.492460
2025-01-01 02:50:00.000,6,6,44.671978,13.293301,9.447898,3.860292,-184478.869011,6.607536,-3.492460
2025-01-01 02:51:00.000,6,6,44.739834,13.303989,9.407913,3.854287,-184478.845137,6.528312,-3.492460
2025-01-01 02:52:00.000,6,6,44.804713,13.315775,9.370037,3.848881,-184478.821263,6.448577,-3.492460
2025-01-01 02:53:00.000,6,6,44.866541,13.328663,9.340766,3.844068,-184478.797388,6.368338,-3.492460
2025-01-01 02:54:00.000,6,6,44.925241,13.342658,9.311256,3.839845,-184478.773514,6.287602,-3.492460
2025-01-01 02:55:00.000,6,6,44.980729,13.357766,9.291391,3.836206,-184478.749639,6.206373,-3.492460
2025-01-01 02:56:00.000,6,6,45.032917,13.373991,9.278082,3.833148,-184478.725765,6.124660,-3.492460
2025-01-01 02:57:00.000,6,6,45.081708,13.391338,9.261208,3.830669,-184478.701891,6.042466,-3.492460
2025-01-01 02:58:00.000,6,6,45.127000,13.409812,9.246892,3.828765,-184478.678016,5.959800,-3.492460
2025-01-01 02:59:00.000,5,5,38.927648,14.246240,9.254749,4.101392,-215279.357493,7.076091,-5.494803
2025-01-01 03:00:00.000,5,5,38.909314,14.269890,9.248380,4.101138,-215279.151492,7.015415,-5.494803
2025-01-01 03:01:00.000,5,5,38.888610,14.294810,9.252721,4.101529,-215279.078641,6.954219,-5.494803
2025-01-01 03:02:00.000,6,5,45.270925,13.495065,9.247998,3.826870,-184478.691658,5.624589,-3.492460
2025-01-01 03:03:00.000,6,5,45.296971,13.519241,9.249238,3.827823,-184478.667784,5.539662,-3.492460
2025-01-01 03:04:00.000,6,5,45.318773,13.544571,9.256583,3.829346,-184478.643909,5.454300,-3.492460
2025-01-01 03:05:00.000,6,5,45.336186,13.571060,9.263441,3.831441,-184478.620035,5.368511,-3.492460
2025-01-01 03:06:00.000,6,5,45.349064,13.598713,9.265630,3.834110,-184478.596161,5.282301,-3.492460
2025-01-01 03:07:00.000,5,5,38.714602,14.471419,9.275239,4.117466,-215277.842637,6.575659,-5.494803
2025-01-01 03:08:00.000,5,5,38.677303,14.505437,9.286658,4.122403,-215277.636636,6.510730,-5.494803
2025-01-01 03:09:00.000,5,5,38.637636,14.540784,9.305282,4.128001,-215277.430635,6.445289,-5.494803
2025-01-01 03:10:00.000,5,5,38.595600,14.577467,9.326022,4.134263,-215277.224635,6.379341,-5.494803
2025-01-01 03:11:00.000,5,5,38.551196,14.615492,9.343599,4.141196,-215277.018634,6.312892,-5.494803
2025-01-01 03:12:00.000,5,5,38.504427,14.654865,9.362539,4.148804,-215276.812633,6.245947,-5.494803
2025-01-01 03:13:00.000,5,5,38.455293,14.695594,9.391701,4.157094,-215276.606633,6.178509,-5.494803
2025-01-01 03:14:00.000,5,5,38.403796,14.737684,9.418972,4.166074,-215276.400632,6.110586,-5.494803
2025-01-01 03:15:00.000,6,5,34.066615,16.042870,9.448348,5.297543,-95236.462576,6.155751,-5.355105
2025-01-01 03:16:00.000,5,5,38.293719,14.825975,9.487361,4.186134,-215275.988631,5.973301,-5.494803
2025-01-01 03:17:00.000,5,5,38.235143,14.872188,9.527764,4.197232,-215275.782630,5.903950,-5.494803
2025-01-01 03:18:00.000,6,6,33.509756,16.682149,13.006105,5.758233,-184997.555219,9.865140,-4.268562
2025-01-01 03:19:00.000,6,6,33.520540,16.693746,12.964838,5.688409,-184997.379005,9.806809,-4.268562
2025-01-01 03:20:00.000,6,6,33.529665,16.706480,12.926615,5.624487,-184997.202790,9.747715,-4.268562
2025-01-01 03:21:00.000,6,6,33.537132,16.720361,12.891803,5.565981,-184997.026575,9.687864,-4.268562
2025-01-01 03:22:00.000,6,6,33.542943,16.735404,12.863193,5.512465,-184996.850361,9.627260,-4.268562
2025-01-01 03:23:00.000,6,6,33.547097,16.751621,12.842703,5.463567,-184996.674146,9.565907,-4.268562
2025-01-01 03:24:00.000,6,6,33.549595,16.769024,12.823603,5.418957,-184996.497931,9.503810,-4.268562
2025-01-01 03:25:00.000,6,6,33.550439,16.787624,12.807522,5.378347,-184996.321717,9.440973,-4.268562
2025-01-01 03:26:00.000,6,6,33.549628,16.807433,12.797490,5.341480,-184996.145502,9.377401,-4.268562
2025-01-01 03:27:00.000,7,6,31.211455,17.426320,12.785825,5.703884,-86429.897103,8.984224,-4.323998
2025-01-01 03:28:00.000,6,6,33.543046,16.850723,12.771211,5.278103,-184995.793073,9.248073,-4.268562
2025-01-01 03:29:00.000,6,6,33.537274,16.874226,12.750821,5.251214,-184995.616858,9.182326,-4.268562
2025-01-01 03:30:00.000,6,6,33.529849,16.898980,12.735614,5.227308,-184995.440644,9.115863,-4.268562
2025-01-01 03:31:00.000,6,6,33.520770,16.924997,12.724317,5.206248,-184995.264429,9.048690,-4.268562
2025-01-01 03:32:00.000,6,6,33.510037,16.952286,12.712798,5.187909,-184995.088214,8.980812,-4.268562
2025-01-01 03:33:00.000,6,6,33.497649,16.980856,12.710681,5.172184,-184994.912000,8.912233,-4.268562
2025-01-01 03:34:00.000,6,6,33.483605,17.010717,12.718414,5.158976,-184994.735785,8.842959,-4.268562
2025-01-01 03:35:00.000,6,6,33.467902,17.041877,12.722604,5.148202,-184994.559571,8.772995,-4.268562
2025-01-01 03:36:00.000,7,6,31.627740,17.483709,12.738375,5.371240,-86428.072916,8.484313,-4.323998
2025-01-01 03:37:00.000,7,7,31.667455,17.495456,13.190378,5.348833,-86427.870228,8.425408,-4.323998
2025-01-01 03:38:00.000,7,7,31.705849,17.508335,13.195192,5.328963,-86427.667541,8.365846,-4.323998
2025-01-01 03:39:00.000,7,7,31.742915,17.522359,13.192043,5.311560,-86427.464853,8.305632,-4.323998
2025-01-01 03:40:00.000,7,7,31.778647,17.537543,13.198113,5.296566,-86427.262166,8.244772,-4.323998
2025-01-01 03:41:00.000,7,7,31.813040,17.553899,13.203951,5.283927,-86427.059478,8.183269,-4.323998
2025-01-01 03:42:00.000,7,7,31.846087,17.571440,13.212613,5.273601,-86426.856791,8.121128,-4.323998
2025-01-01 03:43:00.000,7,7,31.877778,17.590180,13.222906,5.265552,-86426.654103,8.058354,-4.323998
2025-01-01 03:44:00.000,7,7,31.908106,17.610129,13.239975,5.259751,-86426.451416,7.994952,-4.323998
2025-01-01 03:45:00.000,7,7,31.937062,17.631301,13.252230,5.256176,-86426.248729,7.930926,-4.323998
2025-01-01 03:46:00.000,7,7,31.964635,17.653705,13.266081,5.254812,-86426.046041,7.866282,-4.323998
2025-01-01 03:47:00.000,7,7,31.990814,17.677354,13.286392,5.255652,-86425.843354,7.801024,-4.323998
2025-01-01 03:48:00.000,7,7,32.015588,17.702257,13.315073,5.258693,-86425.640666,7.735157,-4.323998
2025-01-01 03:49:00.000,7,7,32.038943,17.728424,13.353326,5.263941,-86425.437979,7.668686,-4.323998
2025-01-01 03:50:00.000,7,7,32.060866,17.755866,13.391690,5.271408,-86425.235291,7.601617,-4.323998
2025-01-01 03:51:00.000,7,7,32.081343,17.784592,13.441276,5.281111,-86425.032604,7.533954,-4.323998
2025-01-01 03:52:00.000,7,7,32.100357,17.814610,13.487770,5.293077,-86424.829916,7.465703,-4.323998
2025-01-01 03:53:00.000,7,7,32.117892,17.845929,13.538907,5.307338,-86424.627229,7.396869,-4.323998
2025-01-01 03:54:00.000,7,7,32.133930,17.878558,13.578674,5.323933,-86424.424542,7.327456,-4.323998
2025-01-01 03:55:00.000,7,7,32.148454,17.912504,13.632922,5.342910,-86424.221854,7.257471,-4.323998
2025-01-01 03:56:00.000,7,7,32.161441,17.947774,13.689219,5.364325,-86424.019167,7.186919,-4.323998
2025-01-01 03:57:00.000,7,7,32.172874,17.984376,13.755037,5.388242,-86423.816479,7.115805,-4.323998
2025-01-01 03:58:00.000,7,7,32.182728,18.022316,13.820242,5.414735,-86423.613792,7.044135,-4.323998
2025-01-01 03:59:00.000,7,7,32.190982,18.061600,13.884920,5.443885,-86423.411105,6.971913,-4.323998
2025-01-01 04:00:00.000,7,7,32.197611,18.102235,13.963404,5.475787,-86423.208417,6.899146,-4.323998
2025-01-01 04:01:00.000,6,6,33.248153,18.068442,13.641727,5.518580,-206996.839290,10.105098,-5.277495
