index,sat,system,nav_epoch,pos_dx,pos_dy,pos_dz,vel_dx,vel_dy,vel_dz,pos_norm,vel_norm
27,G30,GPS,2025   1            300 GPS ,-0.879927479429,0.912490367889,1.245797663927,-0.106378419777,-0.070003997899,0.100484430868,1.777335888343,0.162216055811
28,G31,GPS,2025   1            300 GPS ,-1.078608432785,-0.364170633256,1.256397868274,0.102371158275,-0.056679489974,-0.162747130331,1.695450384058,0.200447117867
29,G32,GPS,2025   1            300 GPS ,0.119722534553,-1.034827969968,-0.882685344666,0.047260152919,0.004881768603,-0.003115434335,1.365406836953,0.047613649825
30,C01,BDS,2025   1            300 GPS ,-5.075011976063,-7.815016031265,1.833900322294,0.000021051072,0.000026514377,0.000073515171,9.497021244486,0.000080936025
31,C02,BDS,2025   1            300 GPS ,-6.721176114865,-1.090489879251,1.146726209670,0.000008893265,0.000070556628,-0.000054894553,6.904951668456,0.000089837296
32,C03,BDS,2025   1            300 GPS ,-7.302507963032,-3.953248612583,1.522675612709,0.000145539033,0.000113920557,-0.000005219298,8.442353828439,0.000184896578
33,C04,BDS,2025   1            300 GPS ,-3.123362421989,-9.478471709415,1.717986858042,-0.000033891416,-0.000004921024,0.000032897321,10.126613333671,0.000047487665
34,C05,BDS,2025   1            300 GPS ,3.783928867429,-4.506076954305,1.611727975542,-0.000145474925,0.000163365265,-0.000084829493,6.100861763639,0.000234621411
35,C06,BDS,2025   1            300 GPS ,-1.254171128850,-0.957111105323,-0.193425599486,-0.000014079734,0.000055578878,-0.000057382335,1.589471720702,0.000081117094
36,C07,BDS,2025   1            300 GPS ,0.188188571483,-1.417409151793,0.283722344786,-0.000021835926,0.000007463404,0.000029067674,1.457724943517,0.000037113875
37,C08,BDS,2025   1            300 GPS ,-2.189476955682,-2.028202101588,-0.748592749238,0.000085096804,0.000042853749,0.000070210146,3.076979721831,0.000118352754
38,C09,BDS,2025   1            300 GPS ,-0.747712757904,-0.871215179563,-0.403043735772,-0.000054685603,0.000009415942,-0.000034463132,1.216772168641,0.000065321379
39,C10,BDS,2025   1            300 GPS ,0.114690248854,-1.761661458760,0.640620145947,0.000014937774,0.000102383159,0.000019810621,1.878030649339,0.000105346614
40,C11,BDS,2025   1            300 GPS ,0.772594165057,0.638041391037,1.004562290385,0.000147337465,0.000334473981,-0.000235382360,1.418853042362,0.000434725232
41,C12,BDS,2025   1            300 GPS ,0.895584709942,1.518605183810,-0.514667499112,-0.000074206343,-0.000013843464,-0.000182348514,1.836604560492,0.000197355526
42,C13,BDS,2025   1            300 GPS ,-1.408823834732,-1.512114837766,-0.845464032143,0.000054623533,0.000036629698,0.000055019361,2.232954390387,0.000085747276
43,C14,BDS,2025   1            300 GPS ,1.591631665826,-1.341776673682,-0.200522094965,-0.000046647587,0.000061429777,0.000440315062,2.091378758682,0.000447020099
44,C16,BDS,2025   1            300 GPS ,-0.397027230822,-0.766837954521,-0.490890428424,0.000013728515,0.000088660486,-0.000007529020,0.993299795241,0.000090032439
45,C19,BDS,2025   1            300 GPS ,-1.138276096433,0.221926357597,0.188457277603,-0.000045941733,-0.000095273181,-0.000254059893,1.174921242207,0.000275198204
46,C20,BDS,2025   1            300 GPS ,-0.861859805882,-0.489757721720,-0.695149870589,0.000143185068,-0.000140804550,-0.000156302153,1.210742868474,0.000254476420
47,C21,BDS,2025   1            300 GPS ,0.857014576904,0.624153112993,0.787400495261,-0.000120743157,0.000001062777,0.000071372547,1.320621305834,0.000140264322
48,C22,BDS,2025   1            300 GPS ,-0.029494266957,0.832726985216,1.021194741130,-0.000143904823,0.000005562411,-0.000010959887,1.318007148312,0.000144428729
49,C23,BDS,2025   1            300 GPS ,0.436146391556,-1.171920303255,-0.006948166527,-0.000023147678,0.000003048406,-0.000135077103,1.250467572177,0.000137080018
50,C24,BDS,2025   1            300 GPS ,0.568597191945,0.376852748916,-1.062395505607,0.000016983297,0.000062509801,0.000017209665,1.262539096974,0.000067022983
51,C25,BDS,2025   1            300 GPS ,0.384647233412,-0.410856312141,-1.113745432347,-0.000080020740,0.000060816606,-0.000064533252,1.247872305755,0.000119442534
52,C26,BDS,2025   1            300 GPS ,-0.076663610525,0.823546733707,-0.616247860715,0.000011905280,0.000061776183,0.000107522611,1.031439749871,0.000124575858
53,C27,BDS,2025   1            300 GPS ,-0.522882809862,-0.852457839996,0.642935680225,0.000040502712,0.000034940657,0.000081374296,1.188889015311,0.000097381186
54,C28,BDS,2025   1            300 GPS ,0.207621314796,-0.599147468805,0.954125478864,0.000195453318,0.000082141772,0.000041252137,1.145617619082,0.000215988447
55,C29,BDS,2025   1            300 GPS ,-0.969923939556,-0.127510019112,-0.451106596738,-0.000064867353,-0.000086831855,0.000145107125,1.077268961364,0.000181117703
56,C30,BDS,2025   1            300 GPS ,-1.030512202531,-0.008137201890,0.165150974877,0.000005807637,0.000016587620,0.000001214764,1.043693661053,0.000017616851
57,C32,BDS,2025   1            300 GPS ,-0.430847529322,-0.993526451290,-0.836007222533,0.000081245018,-0.000016297101,0.000014035546,1.368076196366,0.000084043709
58,C33,BDS,2025   1            300 GPS ,1.240383759141,-0.408436497673,-0.267490217928,0.000041234672,-0.000023381824,0.000090024417,1.333012850373,0.000101741848
59,C34,BDS,2025   1            300 GPS ,0.959199715406,0.807388400659,-0.305565282702,-0.000054741321,0.000050115360,-0.000186451960,1.290469009913,0.000200680081
60,C35,BDS,2025   1            300 GPS ,-0.553369373366,0.604064904153,-1.033828329295,-0.000081932037,-0.000077561263,0.000001669861,1.319057650849,0.000112833491
61,C36,BDS,2025   1            300 GPS ,-0.414829416201,0.466470168903,0.917954426259,0.000017879230,-0.000082630358,0.000034270721,1.110098280203,0.000091224587
62,C37,BDS,2025   1            300 GPS ,0.125423064455,-0.898737169802,0.878467122093,-0.000065528363,-0.000056269522,-0.000036085901,1.262997992904,0.000093607787
63,C38,BDS,2025   1            300 GPS ,0.399783454835,-1.228451922536,0.563030894380,0.000057566205,0.000039912841,0.000166388671,1.409228414690,0.000180532803
64,C39,BDS,2025   1            300 GPS ,-0.178552637808,-1.015111304820,-0.389088250697,0.000037106534,0.000003947861,-0.000112769731,1.101690370508,0.000118783386
65,C40,BDS,2025   1            300 GPS ,1.251943793148,-0.026218313724,1.463127233088,-0.000053420660,-0.000036815396,-0.000007753451,1.925822411693,0.000065339546
66,C41,BDS,2025   1            300 GPS ,0.599942853674,-0.442950081080,-0.210363201797,0.000100152091,0.000060949160,0.000133129191,0.774847648686,0.000177393976
67,C42,BDS,2025   1            300 GPS ,0.888073518872,0.295885180123,-0.055542718619,0.000003086009,-0.000005907568,0.000081668175,0.937714033344,0.000081939695
68,C43,BDS,2025   1            300 GPS ,1.082895044237,0.283206614200,0.474962741137,0.000033204322,-0.000000614942,-0.000088926080,1.215918282052,0.000094924986
69,C44,BDS,2025   1            300 GPS ,0.312698278576,0.838350556791,-0.879058692604,-0.000028661010,-0.000060418164,-0.000018019823,1.254334905254,0.000069256928
70,C45,BDS,2025   1            300 GPS ,-0.405981470831,1.350310318172,0.306459112093,0.000028221954,0.000010138136,0.000225413341,1.442940087947,0.000227399285
